cost_id,route_id,vehicle_id,transport_mode,distance_km,base_cost,fuel_cost,driver_cost,toll_cost,handling_cost,transfer_cost,temperature_control_cost,total_cost,cost_per_kg,cost_per_km,fuel_price_index,route_id_raw
C00001,R0027,TRK026,road,410.0,2378.0,833.73,1155.2,311.79,610.91,550.55,0.0,5840.18,4.66,14.24,1.246,R027
C00002,R0006,TRK028,road,200.1,1160.58,416.51,1118.88,155.73,851.68,218.85,0.0,3922.23,1.0,19.6,1.142,R006
C00003,R0082,TRK009,road,445.1,2581.58,877.69,1172.79,390.81,167.48,28.24,1488.93,6707.53,1.84,15.07,1.235,R082
C00004,R0018,TRK047,road,420.5,2438.9,1049.08,1285.99,373.37,557.6,664.94,0.0,6369.87,1.28,15.15,0.944,R018
C00005,R0042,TRK050,local,530.8,4352.56,1497.09,976.09,129.23,351.22,157.84,0.0,7464.03,2.92,14.06,1.143,R042
C00006,R0054,TRK019,road,159.4,924.52,375.24,1388.29,138.56,359.57,314.61,975.66,4476.45,1.13,28.08,1.162,R054
C00007,R0081,TRK040,road,281.8,1634.44,591.92,1007.82,194.34,259.37,118.86,0.0,3806.75,0.84,13.51,1.212,R081
C00008,R0016,TRK036,road,279.2,1619.36,617.23,1301.71,194.07,750.25,663.54,603.08,5749.24,6.86,20.59,0.996,R016
C00009,R0044,TRK014,road,523.2,3034.56,1098.62,1403.64,442.52,889.38,215.08,1035.62,8119.42,1.68,15.52,1.139,R044
C00010,R0027,TRK014,road,269.2,1561.36,544.93,1375.81,206.95,334.54,157.78,0.0,4181.37,1.25,15.53,1.193,R027
C00011,R0026,TRK018,road,253.1,1467.98,632.27,994.24,170.2,757.58,674.48,0.0,4696.75,1.08,18.56,1.106,R026
C00012,R0089,TRK009,rail,383.8,1381.68,350.7,440.59,68.22,268.46,456.49,1584.64,4550.77,14.03,11.86,1.138,R089
C00013,R0039,TRK024,road,123.4,715.72,248.86,1188.37,80.47,686.62,437.76,1278.41,4636.21,9.36,37.57,1.019,R039
C00014,R0080,TRK017,road,538.2,3121.56,1259.68,1296.4,462.3,708.72,419.42,0.0,7268.08,1.65,13.5,1.178,R080
C00015,R0044,TRK029,rail,134.8,485.28,113.58,425.25,23.87,370.4,147.24,592.66,2158.29,0.78,16.01,1.054,R044
C00016,R0030,TRK022,local,430.0,3526.0,1257.03,725.14,115.75,543.43,134.28,1357.66,7659.29,1.62,17.81,1.069,R030
C00017,R0031,TRK028,local,460.9,3779.38,1470.27,1045.17,123.04,612.0,279.27,0.0,7309.12,4.23,15.86,1.194,R031
C00018,R0069,TRK044,road,38.1,220.98,71.56,1004.22,31.91,409.9,623.43,0.0,2361.98,0.53,61.99,1.13,R069
C00019,R0078,TRK003,local,540.7,4433.74,1479.29,877.06,116.29,278.76,95.71,0.0,7280.85,2.16,13.47,1.139,R078
C00020,R0024,TRK006,road,75.3,436.74,183.73,1054.64,48.82,495.28,580.58,220.5,3020.29,0.78,40.11,1.104,R024
C00021,R0098,TRK047,road,70.6,409.48,136.36,1409.51,57.31,375.16,396.6,0.0,2784.42,1.32,39.44,1.238,R098
C00022,R0024,TRK039,road,410.9,2383.22,993.96,1247.4,368.58,457.13,340.42,0.0,5790.71,1.75,14.09,1.073,R024
C00023,R0021,TRK019,local,284.1,2329.62,720.78,758.46,60.64,255.61,290.8,668.68,5084.58,4.33,17.9,1.204,R021
C00024,R0079,TRK005,road,461.3,2675.54,884.53,1049.84,283.51,318.53,107.56,1270.14,6589.65,1.56,14.28,0.957,R079
C00025,R0097,TRK032,local,429.4,3521.08,1159.24,864.99,98.86,503.61,208.62,1317.37,7673.77,1.6,17.87,1.231,R097
C00026,R0035,TRK032,road,113.3,657.14,283.55,1177.69,79.62,432.08,449.34,0.0,3079.41,4.0,27.18,1.007,R035
C00027,R0021,TRK043,road,193.9,1124.62,426.52,1107.75,160.1,459.95,254.53,0.0,3533.46,0.84,18.22,1.21,R021
C00028,R0070,TRK004,road,159.3,923.94,313.21,1415.31,135.46,866.78,214.82,1109.59,4979.11,1.76,31.26,1.104,R070
C00029,R0024,TRK003,road,45.1,261.58,104.54,1198.05,38.05,606.16,450.74,0.0,2659.12,0.56,58.96,1.095,R024
C00030,R0005,TRK001,road,349.2,2025.36,793.97,1395.27,292.01,594.08,640.99,0.0,5741.69,1.23,16.44,1.083,R005
C00031,R0049,TRK035,rail,175.1,630.36,128.87,395.56,21.59,632.59,533.32,1486.12,3828.42,1.6,21.86,0.906,R049
C00032,R0046,TRK033,road,446.0,2586.8,971.56,1311.65,333.82,504.85,574.85,0.0,6283.52,1.57,14.09,0.914,R046
C00033,R0058,TRK017,rail,165.8,596.88,126.68,395.82,24.72,223.29,43.1,0.0,1410.47,0.36,8.51,0.966,R058
C00034,R0044,TRK032,rail,230.6,830.16,196.12,526.6,41.13,423.63,188.29,0.0,2205.93,0.5,9.57,0.912,R044
C00035,R0020,TRK005,road,147.3,854.34,325.77,1243.35,100.89,286.91,243.65,778.63,3833.53,0.89,26.03,1.009,R020
C00036,R0067,TRK026,rail,121.5,437.4,104.0,491.46,17.53,738.35,349.79,192.15,2330.67,1.38,19.18,1.151,R067
C00037,R0020,TRK016,rail,135.7,488.52,106.95,413.69,20.28,184.74,297.81,660.49,2172.48,0.63,16.01,1.155,R020
C00038,R0033,TRK011,road,396.7,2300.86,881.95,1033.5,305.38,787.63,47.91,1207.64,6564.87,2.46,16.55,1.163,R033
C00039,R0069,TRK034,road,316.3,1834.54,740.42,965.39,207.85,329.18,537.68,0.0,4615.05,1.28,14.59,1.232,R069
C00040,R0021,TRK016,rail,236.7,852.12,171.2,485.05,30.97,776.69,506.0,155.93,2977.96,1.05,12.58,1.166,R021
C00041,R0017,TRK028,road,367.5,2131.5,700.84,1413.53,295.01,728.39,98.47,0.0,5367.73,2.29,14.61,1.025,R017
C00042,R0065,TRK011,local,108.1,886.42,278.05,940.41,26.73,680.82,114.76,794.29,3721.48,0.87,34.43,1.21,R065
C00043,R0034,TRK017,road,67.3,390.34,158.1,1003.35,47.0,465.9,153.37,0.0,2218.06,5.94,32.96,1.066,R034
C00044,R0001,TRK012,road,380.5,2206.9,864.26,1422.92,252.4,762.93,142.04,0.0,5651.45,4.36,14.85,0.957,R001
C00045,R0026,TRK031,local,57.3,469.86,177.33,955.17,16.53,309.15,202.23,0.0,2130.28,0.74,37.18,1.038,R026
C00046,R0032,TRK015,road,360.8,2092.64,751.0,1348.03,275.15,397.8,283.58,0.0,5148.21,1.03,14.27,1.021,R032
C00047,R0041,TRK043,road,39.3,227.94,76.61,1249.93,33.18,800.27,319.94,0.0,2707.87,1.21,68.9,1.192,R041
C00048,R0005,TRK040,road,305.2,1770.16,739.71,1232.97,250.19,748.49,432.81,0.0,5174.33,1.41,16.95,0.971,R005
C00049,R0089,TRK018,rail,452.9,1630.44,356.05,507.84,78.29,652.97,48.32,0.0,3273.91,5.12,7.23,0.932,R089
C00050,R0025,TRK031,road,546.1,3167.38,1056.18,1407.07,489.78,459.7,442.54,0.0,7022.66,1.46,12.86,0.958,R025
C00051,R0069,TRK045,road,432.0,2505.6,1089.85,1318.64,349.01,610.93,558.56,0.0,6432.58,2.59,14.89,1.091,R069
C00052,R0098,TRK032,road,129.0,748.2,246.85,1056.83,110.1,472.96,149.08,0.0,2784.01,2.35,21.58,0.966,R098
C00053,R0061,TRK029,road,121.5,704.7,263.3,1325.25,79.42,744.71,596.71,0.0,3714.09,1.81,30.57,1.093,R061
C00054,R0086,TRK045,road,302.2,1752.76,693.73,1419.8,265.03,261.15,699.46,1704.12,6796.05,1.84,22.49,1.151,R086
C00055,R0060,TRK005,road,410.2,2379.16,799.1,1191.06,306.09,258.8,452.34,676.49,6063.04,2.09,14.78,0.944,R060
C00056,R0035,TRK018,rail,381.4,1373.04,339.71,490.45,53.74,853.33,191.6,868.65,4170.51,1.93,10.93,0.915,R035
C00057,R0021,TRK050,road,119.7,694.26,293.4,1179.64,106.24,894.31,420.52,0.0,3588.38,0.75,29.98,1.079,R021
C00058,R0065,TRK049,road,364.0,2111.2,833.49,999.21,240.43,236.16,259.02,657.37,5336.88,1.59,14.66,0.926,R065
