delay_id,shipment_id,route_id,vehicle_id,transport_mode,departure_timestamp,distance_km,planned_transit_hours,actual_transit_hours,delay_hours,on_time,historical_route_reliability,congestion_level,weather_condition,transfer_count,handling_time_hours,day_of_week,peak_period,route_id_raw,shipment_id_raw
D00001,HS001467,R0082,TRK008,road,2026-01-03 23:43:00,172.0,7.4,9.61,2.21,0,0.903,high,clear,0,0.32,Saturday,0,R082,S01467
D00002,HS000210,R0084,TRK045,road,2025-09-03 02:24:00,145.8,5.84,8.72,2.88,0,0.722,medium,cloudy,0,0.6,Wednesday,0,R084,S00210
D00003,HS000143,R0012,TRK025,road,2026-03-27 09:24:00,446.8,12.6,17.24,4.64,0,0.917,medium,heavy_rain,0,1.49,Friday,1,R012,S00143
D00004,HS001400,R0006,TRK043,road,2025-07-14 09:46:00,178.9,7.01,10.27,3.26,0,0.747,low,cloudy,0,1.08,Monday,1,R006,S01400
D00005,HS000647,R0083,TRK005,road,2026-07-20 01:34:00,122.1,3.47,9.12,5.65,0,0.822,high,cloudy,1,2.76,Monday,0,R083,S00647
D00006,HS001150,R0052,TRK018,road,2026-06-27 11:37:00,478.3,13.34,17.72,4.38,0,0.777,medium,rain,1,0.98,Saturday,0,R052,S01150
D00007,HS000782,R0069,TRK017,rail,2025-04-27 11:53:00,245.6,7.02,8.71,1.69,0,0.989,low,cloudy,1,2.61,Sunday,0,R069,S00782
D00008,HS000324,R0077,TRK030,road,2025-11-13 14:04:00,506.1,10.41,11.79,1.38,0,0.915,medium,cloudy,0,1.69,Thursday,0,R077,S00324
D00009,HS001087,R0059,TRK001,local,2025-04-22 07:03:00,460.4,14.86,20.75,5.89,0,0.768,high,rain,0,1.69,Tuesday,1,R059,S01087
D00010,HS000142,R0001,TRK039,road,2025-12-20 21:17:00,49.3,3.63,5.96,2.33,0,0.945,low,clear,2,3.12,Saturday,0,R001,S00142
D00011,HS000765,R0098,TRK035,rail,2025-05-27 11:22:00,101.6,4.36,8.72,4.36,0,0.792,high,clear,0,1.46,Tuesday,0,R098,S00765
D00012,HS000146,R0057,TRK034,road,2025-01-23 20:58:00,159.0,5.9,8.69,2.79,0,0.87,medium,clear,1,0.74,Thursday,1,R057,S00146
D00013,HS001494,R0066,TRK016,road,2026-04-25 20:33:00,273.0,8.72,10.58,1.86,0,0.958,medium,clear,1,1.54,Saturday,1,R066,S01494
D00014,HS000155,R0007,TRK044,rail,2025-12-03 21:00:00,350.2,14.14,16.02,1.88,0,0.936,low,clear,1,1.01,Wednesday,0,R007,S00155
D00015,HS000800,R0057,TRK036,road,2025-02-12 16:43:00,353.0,8.82,11.97,3.15,0,0.745,medium,clear,0,1.33,Wednesday,0,R057,S00800
D00016,HS000118,R0034,TRK030,road,2025-02-14 09:18:00,374.4,10.3,13.01,2.71,0,0.899,medium,clear,0,0.38,Friday,1,R034,S00118
D00017,HS000859,R0007,TRK038,road,2026-02-19 19:47:00,481.3,12.01,16.44,4.43,0,0.857,high,clear,0,2.19,Thursday,1,R007,S00859
D00018,HS001273,R0085,TRK038,road,2025-02-22 19:46:00,191.9,7.65,11.41,3.76,0,0.805,low,clear,1,2.32,Saturday,1,R085,S01273
D00019,HS001368,R0073,TRK007,road,2026-03-22 09:50:00,142.3,6.88,11.55,4.67,0,0.958,high,clear,0,2.13,Sunday,1,R073,S01368
D00020,HS001299,R0071,TRK020,local,2026-05-16 14:52:00,89.7,2.9,4.08,1.18,0,0.96,medium,clear,0,0.72,Saturday,0,R071,S01299
D00021,HS000230,R0034,TRK033,road,2026-06-24 17:56:00,474.6,10.07,12.3,2.23,0,0.834,low,clear,1,2.19,Wednesday,1,R034,S00230
D00022,HS000431,R0010,TRK045,local,2025-09-18 13:10:00,301.9,7.93,11.99,4.06,0,0.76,low,clear,2,4.02,Thursday,0,R010,S00431
D00023,HS000681,R0088,TRK016,rail,2025-05-09 22:12:00,209.8,7.55,10.14,2.59,0,0.983,medium,rain,0,0.62,Friday,0,R088,S00681
D00024,HS000467,R0053,TRK043,local,2025-08-11 05:35:00,429.2,14.66,19.8,5.14,0,0.749,high,rain,0,2.09,Monday,0,R053,S00467
D00025,HS000544,R0029,TRK002,rail,2025-01-21 02:21:00,231.3,7.18,10.57,3.39,0,0.929,low,cloudy,1,2.71,Tuesday,0,R029,S00544
D00026,HS001103,R0005,TRK007,road,2026-01-14 14:15:00,205.9,5.77,8.24,2.47,0,0.986,low,rain,0,0.35,Wednesday,0,R005,S01103
D00027,HS000825,R0088,TRK047,local,2026-01-05 06:36:00,393.8,13.4,16.23,2.83,0,0.976,high,cloudy,1,1.55,Monday,0,R088,S00825
D00028,HS000881,R0090,TRK019,road,2025-06-03 01:12:00,132.1,4.32,6.5,2.18,0,0.922,low,cloudy,0,2.13,Tuesday,0,R090,S00881
D00029,HS000482,R0075,TRK039,rail,2026-04-06 21:26:00,263.2,7.62,12.32,4.7,0,0.848,high,rain,0,0.44,Monday,0,R075,S00482
D00030,HS000787,R0087,TRK020,road,2026-05-23 01:40:00,135.6,5.84,8.01,2.17,0,0.848,medium,clear,0,1.67,Saturday,0,R087,S00787
D00031,HS000249,R0064,TRK026,road,2025-02-06 13:37:00,354.9,14.99,14.99,0.0,1,0.928,low,clear,0,2.41,Thursday,0,R064,S00249
D00032,HS000326,R0059,TRK009,rail,2026-02-03 22:45:00,360.4,8.58,11.63,3.05,0,0.977,high,cloudy,1,2.35,Tuesday,0,R059,S00326
D00033,HS000284,R0096,TRK031,road,2025-09-02 13:21:00,400.9,9.1,10.5,1.4,0,0.93,medium,clear,0,1.86,Tuesday,0,R096,S00284
D00034,HS000041,R0020,TRK015,road,2026-05-22 11:08:00,113.3,4.89,9.23,4.34,0,0.809,medium,clear,2,2.96,Friday,0,R020,S00041
D00035,HS000995,R0098,TRK037,road,2025-06-10 14:11:00,42.8,3.53,6.22,2.69,0,0.95,high,clear,1,2.26,Tuesday,0,R098,S00995
D00036,HS000878,R0004,TRK025,road,2025-01-20 17:38:00,366.0,10.32,12.63,2.31,0,0.846,low,cloudy,0,1.14,Monday,1,R004,S00878
D00037,HS000717,R0018,TRK030,road,2025-12-09 11:12:00,164.9,6.11,11.74,5.63,0,0.811,high,clear,2,3.13,Tuesday,0,R018,S00717
D00038,HS000525,R0029,TRK042,road,2025-06-08 17:12:00,499.5,17.75,21.5,3.75,0,0.787,medium,cloudy,0,1.32,Sunday,1,R029,S00525
D00039,HS000156,R0099,TRK024,road,2025-10-01 06:57:00,331.5,7.66,9.53,1.87,0,0.941,high,clear,0,0.95,Wednesday,0,R099,S00156
D00040,HS001037,R0076,TRK045,rail,2026-04-27 16:55:00,156.6,4.6,8.47,3.87,0,0.905,medium,rain,1,1.07,Monday,0,R076,S01037
D00041,HS001103,R0083,TRK022,road,2026-04-19 15:34:00,241.6,7.44,10.91,3.47,0,0.818,high,clear,0,0.65,Sunday,0,R083,S01103
D00042,HS000777,R0100,TRK031,road,2026-05-02 13:26:00,436.4,11.22,16.99,5.77,0,0.786,high,clear,1,2.69,Saturday,0,R100,S00777
D00043,HS001001,R0044,TRK002,road,2025-05-20 02:57:00,196.0,6.15,10.5,4.35,0,0.79,low,cloudy,2,2.93,Tuesday,0,R044,S01001
D00044,HS001088,R0072,TRK049,road,2026-02-08 00:38:00,268.5,7.31,10.7,3.39,0,0.725,low,clear,0,1.74,Sunday,0,R072,S01088
D00045,HS000992,R0045,TRK028,local,2026-05-18 13:28:00,304.2,9.75,12.4,2.65,0,0.803,low,cloudy,0,1.92,Monday,0,R045,S00992
D00046,HS000112,R0036,TRK047,road,2025-02-03 03:26:00,404.9,12.13,13.67,1.54,0,0.945,low,clear,0,1.84,Monday,0,R036,S00112
D00047,HS001406,R0071,TRK019,rail,2025-12-14 20:55:00,100.6,3.68,6.33,2.65,0,0.956,medium,clear,0,0.66,Sunday,1,R071,S01406
D00048,HS000907,R0007,TRK010,road,2025-11-25 01:18:00,310.2,11.55,15.36,3.81,0,0.752,medium,cloudy,1,1.48,Tuesday,0,R007,S00907
D00049,HS000837,R0039,TRK038,local,2025-05-07 13:36:00,186.6,6.19,8.83,2.64,0,0.92,high,clear,0,1.74,Wednesday,0,R039,S00837
D00050,HS000406,R0058,TRK045,road,2026-04-27 11:00:00,179.8,7.52,10.52,3.0,0,0.91,medium,cloudy,2,3.62,Monday,0,R058,S00406
D00051,HS000825,R0055,TRK008,road,2025-04-01 13:14:00,350.9,9.25,11.87,2.62,0,0.739,low,clear,1,2.06,Tuesday,0,R055,S00825
