shipment_id,product_type,weight_kg,transport_mode,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,assigned_vehicle_id,assigned_route_id,assigned_vehicle_type,vehicle_capacity_kg,vehicle_temp_min_c,vehicle_temp_max_c,vehicle_reliability_feature,vehicle_temperature_control_score,route_avg_transit_hr,route_reliability_feature,route_temperature_stability,route_weather_sensitivity,route_base_cost_inr,route_typical_transfer_count,historical_handling_time_hours,historical_congestion_level,historical_weather_condition,historical_peak_period,delayed
HS000001,Packaged Food,195,road,13.87,15,30,9,19.5,0,0,0.372,0.815,TRK024,R0071,,,,,,,10.35,0.819,0.8,0.33,686.46,0.0,2.0,low,rain,1.0,1
HS000002,Banana,614,rail,8.29,12,15,4,12.6,2,0,0.451,0.954,TRK012,R0025,,,,,,,4.21,0.781,0.8,0.42,200.9,1.0,1.845,low,heavy_rain,0.0,1
HS000003,Packaged Food,1255,road,8.68,15,30,8,15.6,2,0,0.085,0.759,TRK022,R0093,,,,,,,7.6,0.885,0.9,1.18,742.24,0.0,2.15,low,clear,1.0,1
HS000004,Leafy Vegetables,608,road,10.8,2,8,18,28.6,1,0,0.243,0.957,TRK002,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.6,high,clear,1.0,0
HS000005,Frozen Food,122,road,20.24,-20,-15,2,41.9,0,0,0.572,0.769,TRK012,R0010,,,,,,,4.63,0.89,0.83,0.85,475.27,0.0,2.315,low,cloudy,1.0,1
HS000006,Packaged Food,572,rail,7.42,15,30,23,30.4,0,0,0.226,0.787,TRK002,R0054,,,,,,,1.85,0.98,0.85,0.94,132.03,3.0,2.12,low,clear,1.0,1
HS000007,Mango,455,road,20.24,8,12,12,36.6,0,0,0.72,0.88,TRK006,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.62,medium,clear,0.0,1
HS000008,Packaged Food,188,rail,1.32,15,30,4,8.0,0,0,0.667,0.722,TRK004,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,1.44,low,clear,1.0,1
HS000009,Fish,809,road,5.47,-2,4,13,24.7,2,1,0.497,0.897,TRK005,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,2.25,low,clear,1.0,1
HS000010,Pharmaceuticals,465,rail,8.51,2,8,12,32.4,1,1,0.559,0.946,TRK003,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,2.785,low,rain,1.0,0
