shipment_id,product_type,weight_kg,origin,destination,transport_mode,distance_km,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,temperature_excursion_minutes,estimated_cost_inr,delayed,delay_minutes,spoiled,shipment_id_raw
HS000001,Packaged Food,195,Visakhapatnam,Ranchi,road,665.7,13.87,15,30,9,19.5,0,0,0.372,0.815,0.0,1398.89,1,73.4,0,HS000001
HS000002,Banana,614,Gopalpur,Ranchi,rail,456.1,8.29,12,15,4,12.6,2,0,0.451,0.954,17.6,1640.14,1,19.9,1,HS000002
HS000003,Packaged Food,1255,Cuttack,Visakhapatnam,road,416.7,8.68,15,30,8,15.6,2,0,0.085,0.759,46.7,2057.55,1,35.2,0,HS000003
HS000004,Leafy Vegetables,608,Berhampur,Kolkata,road,518.2,10.8,2,8,18,28.6,1,0,0.243,0.957,0.0,1530.03,0,26.2,0,HS000004
HS000005,Frozen Food,122,Ranchi,Hyderabad,road,971.7,20.24,-20,-15,2,41.9,0,0,0.572,0.769,0.0,1844.1,1,118.8,0,HS000005
HS000006,Packaged Food,572,Gopalpur,Raipur,rail,408.1,7.42,15,30,23,30.4,0,0,0.226,0.787,5.0,499.23,1,79.0,0,HS000006
HS000007,Mango,455,Ranchi,Hyderabad,road,971.7,20.24,8,12,12,36.6,0,0,0.72,0.88,7.4,2120.74,1,105.3,0,HS000007
HS000008,Packaged Food,188,Puri,Cuttack,rail,72.4,1.32,15,30,4,8.0,0,0,0.667,0.722,13.8,86.35,1,53.2,0,HS000008
HS000009,Fish,809,Jamshedpur,Cuttack,road,262.5,5.47,-2,4,13,24.7,2,1,0.497,0.897,71.9,1552.33,1,52.8,0,HS000009
HS000010,Pharmaceuticals,465,Sambalpur,Kolkata,rail,468.2,8.51,2,8,12,32.4,1,1,0.559,0.946,23.7,969.47,0,103.6,1,HS000010
HS000011,Banana,823,Sambalpur,Bhubaneswar,road,231.6,4.82,12,15,8,16.5,0,0,0.323,0.809,0.0,479.8,0,58.3,0,HS000011
HS000012,Dairy,176,Sambalpur,Visakhapatnam,local,427.9,14.26,2,8,20,19.6,0,0,0.549,0.871,9.0,1032.2,1,76.3,0,HS000012
HS000013,Pharmaceuticals,454,Puri,Hyderabad,road,819.6,17.08,2,8,2,22.8,0,0,0.321,0.809,23.4,1864.11,1,56.0,0,HS000013
HS000014,Dairy,196,Bhubaneswar,Visakhapatnam,rail,399.0,7.26,2,8,14,12.1,3,0,0.907,0.893,34.5,1551.9,0,81.4,0,HS000014
HS000015,Banana,411,Berhampur,Raipur,road,394.1,8.21,12,15,23,20.4,0,0,0.083,0.852,21.0,835.55,0,44.2,0,HS000015
HS000016,Tomato,914,Gopalpur,Cuttack,road,167.9,3.5,8,13,10,18.1,0,0,0.203,0.846,9.2,365.6,1,60.4,0,HS000016
HS000017,Spices,138,Ranchi,Visakhapatnam,rail,665.7,12.1,15,30,2,32.7,2,1,0.252,0.733,26.0,1985.02,1,135.6,1,HS000017
HS000018,Mango,144,Sambalpur,Raipur,road,244.7,5.1,8,12,23,24.5,1,0,0.788,0.885,2.5,1028.29,0,14.6,0,HS000018
HS000019,Pharmaceuticals,651,Sambalpur,Bhubaneswar,rail,231.6,4.21,2,8,2,16.1,0,0,0.452,0.847,0.0,262.54,0,39.6,0,HS000019
HS000020,Packaged Food,347,Cuttack,Kolkata,road,347.7,7.24,15,30,21,30.1,0,0,0.555,0.8,12.1,832.11,0,9.9,0,HS000020
HS000021,Mango,749,Balasore,Raipur,rail,549.7,9.99,8,12,4,18.7,1,0,0.295,0.84,0.4,988.02,1,101.8,0,HS000021
HS000022,Banana,207,Gopalpur,Raipur,road,408.1,8.5,12,15,6,15.0,1,0,0.269,0.803,32.6,1172.94,0,17.2,0,HS000022
HS000023,Pharmaceuticals,362,Bhubaneswar,Kolkata,road,364.9,7.6,2,8,4,30.6,1,1,0.649,0.788,51.4,1301.01,0,17.2,0,HS000023
HS000024,Mango,547,Rourkela,Ranchi,rail,129.2,2.35,8,12,21,13.6,1,0,0.686,0.75,1.6,680.66,0,21.3,0,HS000024
HS000025,Fish,401,Puri,Chennai,rail,954.6,17.36,-2,4,9,25.4,0,0,0.518,0.775,8.8,1135.15,1,76.7,0,HS000025
HS000026,Pharmaceuticals,109,Gopalpur,Visakhapatnam,rail,250.1,4.55,2,8,6,12.2,1,0,0.704,0.752,0.0,826.55,0,25.4,0,HS000026
HS000027,Fish,2192,Rourkela,Visakhapatnam,rail,536.5,9.75,-2,4,16,15.6,0,0,0.773,0.723,1.9,665.04,1,75.4,0,HS000027
HS000028,Leafy Vegetables,402,Berhampur,Jamshedpur,road,414.6,8.64,2,8,17,16.7,0,1,0.102,0.904,53.8,957.79,0,63.4,0,HS000028
HS000029,Pharmaceuticals,146,Visakhapatnam,Bhubaneswar,rail,399.0,7.26,2,8,5,25.1,0,0,0.235,0.744,5.3,533.87,0,5.7,0,HS000029
HS000030,Fish,429,Cuttack,Jamshedpur,road,262.5,5.47,-2,4,6,29.3,1,1,0.622,0.819,26.9,812.48,1,88.2,0,HS000030
HS000031,Tomato,463,Sambalpur,Raipur,road,244.7,5.1,8,13,23,20.0,1,0,0.874,0.882,3.4,936.24,1,44.6,0,HS000031
HS000032,Fish,668,Jamshedpur,Visakhapatnam,rail,648.6,11.79,-2,4,11,23.6,1,1,0.811,0.897,30.4,1166.09,1,122.7,0,HS000032
HS000033,Spices,639,Bhubaneswar,Hyderabad,road,837.2,17.44,15,30,10,21.6,0,0,0.583,0.739,10.0,1839.6,1,98.4,0,HS000033
HS000034,Frozen Food,305,Cuttack,Kolkata,local,347.7,11.59,-20,-15,20,18.8,0,0,0.444,0.94,23.4,949.15,0,50.0,0,HS000034
HS000035,Dairy,114,Gopalpur,Hyderabad,local,709.7,23.66,2,8,22,35.2,0,1,0.032,0.742,64.0,1795.39,1,64.5,1,HS000035
HS000036,Leafy Vegetables,472,Jamshedpur,Bhubaneswar,rail,281.7,5.12,2,8,22,10.7,0,0,0.922,0.848,0.0,366.96,0,37.2,0,HS000036
HS000037,Mango,120,Rourkela,Hyderabad,road,858.5,17.89,8,12,8,22.8,0,0,0.744,0.926,7.2,2049.12,1,74.8,0,HS000037
HS000038,Tomato,771,Balasore,Jamshedpur,rail,163.9,2.98,8,13,17,8.0,1,1,0.284,0.834,0.0,714.38,1,68.4,0,HS000038
HS000039,Mango,217,Ranchi,Chennai,road,1258.6,26.22,8,12,11,49.3,0,0,0.506,0.97,10.9,2463.7,1,106.8,0,HS000039
HS000040,Packaged Food,529,Balasore,Hyderabad,road,996.1,20.75,15,30,14,40.4,1,1,0.239,0.896,30.3,2973.65,1,113.9,0,HS000040
HS000041,Tomato,228,Ranchi,Hyderabad,rail,971.7,17.67,8,13,10,28.7,1,0,0.916,0.805,22.4,1306.36,1,110.0,0,HS000041
HS000042,Rice,254,Jamshedpur,Kolkata,rail,223.2,4.06,15,30,6,23.5,1,1,0.448,0.739,8.3,684.13,1,83.9,0,HS000042
HS000043,Banana,208,Bhubaneswar,Chennai,road,996.3,20.76,12,15,7,31.0,0,1,0.854,0.926,18.3,2267.98,1,99.1,0,HS000043
HS000044,Tomato,557,Gopalpur,Hyderabad,rail,709.7,12.9,8,13,6,19.0,1,0,0.62,0.938,23.5,1312.55,1,76.9,0,HS000044
