shipment_id,product_type,weight_kg,origin,destination,transport_mode,distance_km,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,temperature_excursion_minutes,estimated_cost_inr,delayed,delay_minutes,spoiled,shipment_id_raw,temp_obs_count,observed_avg_temp,observed_min_temp,observed_max_temp,observed_temp_std,observed_excursion_count,observed_in_range_pct,observed_sensor_fair_pct,vulnerability,excursion_risk,peak_delta,peak_delta_risk,delay_risk,P_spoilage,P_spoilage_noisy,P_spoilage_final,spoiled_synthetic
HS000001,Packaged Food,195,Visakhapatnam,Ranchi,road,665.7,13.87,15,30,9,19.5,0,0,0.372,0.815,0.0,1398.89,1,73.4,0,HS000001,7,23.7,18.57,28.14,2.9941220193349944,0,100.0,0.0,1.0,0.0024726231566347743,0.0,0.0,0.0734,0.07587262315663477,0.12554403845775805,0.12554403845775805,0
HS000002,Banana,614,Gopalpur,Ranchi,rail,456.1,8.29,12,15,4,12.6,2,0,0.451,0.954,17.6,1640.14,1,19.9,1,HS000002,9,13.258888888888889,12.09,14.96,1.1329214937987149,0,100.0,0.2222222222222222,1.0,0.07727220213665989,0.0,0.0,0.019899999999999998,0.09717220213665989,0.08334577201954142,0.08334577201954142,0
HS000003,Packaged Food,1255,Cuttack,Visakhapatnam,road,416.7,8.68,15,30,8,15.6,2,0,0.085,0.759,46.7,2057.55,1,35.2,0,HS000003,7,24.17,15.54,35.31,7.173674093517214,1,85.71428571428571,0.2857142857142857,1.0,0.965775842307604,5.310000000000002,0.5310000000000002,0.0352,1.5319758423076042,1.5967446961176734,0.99,1
HS000004,Leafy Vegetables,608,Berhampur,Kolkata,road,518.2,10.8,2,8,18,28.6,1,0,0.243,0.957,0.0,1530.03,0,26.2,0,HS000004,7,4.402857142857143,2.31,6.78,1.8042146424942007,0,100.0,0.1428571428571428,1.0,0.0024726231566347743,0.0,0.0,0.0262,0.028672623156634776,0.18097560879743732,0.18097560879743732,0
HS000005,Frozen Food,122,Ranchi,Hyderabad,road,971.7,20.24,-20,-15,2,41.9,0,0,0.572,0.769,0.0,1844.1,1,118.8,0,HS000005,8,-16.71875,-18.75,-15.03,1.5208873115013202,0,100.0,0.25,1.0,0.0024726231566347743,0.0,0.0,0.1188,0.12127262315663477,0.09785728568430117,0.09785728568430117,0
HS000006,Packaged Food,572,Gopalpur,Raipur,rail,408.1,7.42,15,30,23,30.4,0,0,0.226,0.787,5.0,499.23,1,79.0,0,HS000006,7,21.064285714285717,16.17,28.38,5.127006459728253,0,100.0,0.1428571428571428,1.0,0.0066928509242848554,0.0,0.0,0.079,0.08569285092428486,0.062279155229366806,0.062279155229366806,0
HS000007,Mango,455,Ranchi,Hyderabad,road,971.7,20.24,8,12,12,36.6,0,0,0.72,0.88,7.4,2120.74,1,105.3,0,HS000007,9,10.552222222222222,8.21,12.81,1.5307169707181156,1,88.88888888888889,0.4444444444444444,1.0,0.010771730045141615,0.8100000000000005,0.08100000000000006,0.1053,0.19707173004514167,0.3549930115958808,0.3549930115958808,0
HS000008,Packaged Food,188,Puri,Cuttack,rail,72.4,1.32,15,30,4,8.0,0,0,0.667,0.722,13.8,86.35,1,53.2,0,HS000008,9,21.037777777777777,16.49,26.88,3.517068302499177,0,100.0,0.3333333333333333,1.0,0.037687890508605916,0.0,0.0,0.053200000000000004,0.09088789050860592,0.16763136342389678,0.16763136342389678,1
HS000009,Fish,809,Jamshedpur,Cuttack,road,262.5,5.47,-2,4,13,24.7,2,1,0.497,0.897,71.9,1552.33,1,52.8,0,HS000009,13,2.027692307692308,-1.85,5.38,2.332231241558728,1,92.3076923076923,0.2307692307692307,1.0,0.9997706426713968,1.38,0.13799999999999998,0.0528,1.1905706426713967,1.1436232040779015,0.99,0
HS000010,Pharmaceuticals,465,Sambalpur,Kolkata,rail,468.2,8.51,2,8,12,32.4,1,1,0.559,0.946,23.7,969.47,0,103.6,1,HS000010,7,6.585714285714286,2.01,13.87,3.881575526951469,1,85.71428571428571,0.2857142857142857,1.0,0.22097389222018776,5.869999999999999,0.587,0.1036,0.9115738922201878,0.9658298965787843,0.9658298965787843,1
