handling_id,shipment_id,route_id,hub_id,vehicle_id,transfer_type,product_category,cargo_weight_kg,arrival_timestamp,departure_timestamp,handling_time_hours,loading_time_hours,unloading_time_hours,queue_time_hours,temperature_during_handling_c,temperature_excursion,damage_incident,handling_cost,transfer_delay_hours,route_id_raw,shipment_id_raw,hub_id_raw,hub_number,hub_id_mapped
H00001,HS000758,R0092,HUB18,TRK021,vehicle_change,mango,1284.9,2026-05-17 02:35:00,2026-05-17 05:08:36,0.72,0.58,1.12,1.84,10.62,0,0,525.99,2.37,R092,S00758,HUB18,18,
H00002,HS000546,R0097,HUB04,TRK016,vehicle_change,mango,1309.2,2025-05-16 21:45:00,2025-05-16 23:51:36,0.83,0.7,1.1,1.28,9.41,0,0,535.45,1.56,R097,S00546,HUB04,4,H004
H00003,HS000091,R0065,HUB15,TRK036,vehicle_change,pharma,1172.1,2025-08-07 13:34:00,2025-08-07 15:13:00,1.58,0.2,0.49,0.07,5.31,0,0,447.12,0.46,R065,S00091,HUB15,15,H015
H00004,HS000664,R0051,HUB03,TRK040,warehouse,pharma,146.3,2026-06-15 23:30:00,2026-06-16 02:46:12,1.86,0.58,1.08,1.41,7.49,0,0,666.78,1.72,R051,S00664,HUB03,3,H003
H00005,HS001473,R0072,HUB17,TRK037,warehouse,dairy,527.1,2026-06-13 15:08:00,2026-06-13 16:32:00,1.12,1.06,0.62,0.28,3.29,0,0,415.04,0.49,R072,S01473,HUB17,17,
H00006,HS001053,R0034,HUB02,TRK035,cross_dock,rice,1486.9,2026-08-08 14:29:00,2026-08-08 16:14:36,1.54,0.4,0.29,0.22,25.44,0,0,618.73,0.47,R034,S01053,HUB02,2,H002
H00007,HS000330,R0050,HUB01,TRK028,mode_change,rice,1204.0,2025-06-02 00:03:00,2025-06-02 03:02:24,2.47,0.32,0.88,0.52,24.92,0,0,861.34,1.02,R050,S00330,HUB01,1,H001
H00008,HS000642,R0028,HUB09,TRK004,mode_change,fish,958.0,2025-05-30 11:49:00,2025-05-30 13:34:36,1.57,0.57,0.38,0.19,2.13,0,0,523.63,0.44,R028,S00642,HUB09,9,H009
H00009,HS000047,R0044,HUB08,TRK035,cross_dock,vegetables,1466.4,2026-06-12 18:54:00,2026-06-12 19:30:00,0.56,0.9,0.34,0.04,4.8,0,0,470.46,0.4,R044,S00047,HUB08,8,H008
H00010,HS000385,R0075,HUB15,TRK008,cross_dock,fish,1249.1,2026-04-02 20:40:00,2026-04-02 21:32:48,0.42,0.93,0.51,0.46,2.94,0,0,356.17,0.58,R075,S00385,HUB15,15,H015
H00011,HS000962,R0049,HUB06,TRK034,mode_change,vegetables,472.0,2026-06-15 22:07:00,2026-06-16 00:34:36,1.07,0.49,0.71,1.39,4.52,0,0,672.69,1.71,R049,S00962,HUB06,6,H006
H00012,HS001452,R0015,HUB19,TRK010,cross_dock,rice,1294.1,2025-05-13 09:20:00,2025-05-13 11:56:00,1.61,0.6,0.67,0.99,27.22,0,0,757.03,1.5,R015,S01452,HUB19,19,
H00013,HS000009,R0068,HUB12,TRK009,cross_dock,vegetables,1129.5,2025-03-31 00:25:00,2025-03-31 02:19:36,0.93,0.44,1.1,0.98,5.67,0,0,535.65,1.12,R068,S00009,HUB12,12,H012
H00014,HS001316,R0079,HUB07,TRK005,cross_dock,mango,722.6,2026-06-04 02:48:00,2026-06-04 04:50:24,2.01,0.55,0.34,0.03,11.65,0,0,568.76,0.63,R079,S01316,HUB07,7,H007
H00015,HS000875,R0021,HUB14,TRK041,mode_change,mango,81.6,2025-05-27 19:30:00,2025-05-27 22:02:24,1.28,0.84,1.17,1.26,11.28,0,0,591.31,1.51,R021,S00875,HUB14,14,H014
H00016,HS000778,R0024,HUB01,TRK023,warehouse,mango,1845.4,2026-06-08 23:56:00,2026-06-09 00:47:36,0.78,0.71,1.07,0.08,9.23,0,0,421.88,0.45,R024,S00778,HUB01,1,H001
H00017,HS000318,R0006,HUB13,TRK016,vehicle_change,rice,657.7,2025-02-28 08:51:00,2025-02-28 15:08:47,1.0,1.17,0.55,5.296452447226738,24.51,0,0,937.06,5.65,R006,S00318,HUB13,13,H013
H00018,HS000390,R0022,HUB10,TRK040,warehouse,grains,1776.8,2025-07-29 00:03:00,2025-07-29 02:04:48,1.66,0.46,0.57,0.37,23.72,0,0,688.17,0.7,R022,S00390,HUB10,10,H010
H00019,HS000957,R0058,HUB11,TRK023,mode_change,rice,1972.0,2026-05-25 12:13:00,2026-05-25 14:02:12,1.39,0.78,1.13,0.43,19.14,0,0,568.49,0.78,R058,S00957,HUB11,11,H011
H00020,HS001396,R0058,HUB04,TRK045,mode_change,fish,228.9,2025-10-17 02:39:00,2025-10-17 04:37:12,1.53,0.3,1.04,0.44,1.65,0,0,504.53,0.82,R058,S01396,HUB04,4,H004
H00021,HS001064,R0036,HUB09,TRK019,warehouse,pharma,440.1,2025-05-30 10:34:00,2025-05-30 12:50:48,2.2,0.75,0.66,0.08,3.94,0,0,585.26,0.67,R036,S01064,HUB09,9,H009
H00022,HS000579,R0047,HUB17,TRK047,warehouse,mango,106.0,2026-03-02 16:47:00,2026-03-02 19:23:00,2.31,0.87,0.16,0.29,11.47,0,0,716.72,0.65,R047,S00579,HUB17,17,
H00023,HS000835,R0025,HUB17,TRK033,vehicle_change,vegetables,1588.1,2025-10-06 16:58:00,2025-10-06 18:17:12,0.33,0.26,1.3,0.99,4.53,0,0,308.37,1.31,R025,S00835,HUB17,17,
H00024,HS000174,R0014,HUB10,TRK035,cross_dock,mango,1851.8,2026-04-29 22:53:00,2026-04-29 23:51:48,0.58,0.5,0.29,0.4,3.18,1,0,305.55,0.92,R014,S00174,HUB10,10,H010
H00025,HS001230,R0030,HUB08,TRK001,mode_change,mango,1766.1,2025-07-13 03:46:00,2025-07-13 04:59:48,1.19,0.4,0.17,0.04,10.36,0,0,589.48,0.37,R030,S01230,HUB08,8,H008
H00026,HS000040,R0056,HUB09,TRK040,mode_change,rice,1970.1,2025-08-30 11:29:00,2025-08-30 13:02:00,0.56,0.21,1.12,0.99,19.05,0,0,390.64,1.09,R056,S00040,HUB09,9,H009
H00027,HS001314,R0028,HUB13,TRK040,warehouse,mango,1952.3,2025-01-10 18:10:00,2025-01-10 19:53:12,0.69,0.23,1.23,1.03,9.4,0,0,425.55,1.21,R028,S01314,HUB13,13,H013
H00028,HS000953,R0088,HUB18,TRK031,warehouse,vegetables,354.2,2025-10-26 17:01:00,2025-10-26 19:22:00,1.89,0.27,0.78,0.46,7.75,0,0,636.36,1.16,R088,S00953,HUB18,18,
H00029,HS000013,R0053,HUB11,TRK038,mode_change,fish,269.7,2025-01-05 20:47:00,2025-01-05 21:47:00,0.92,0.22,0.5,0.08,0.43,0,0,551.37,0.71,R053,S00013,HUB11,11,H011
H00030,HS000905,R0052,HUB02,TRK034,warehouse,rice,181.5,2025-01-18 06:25:00,2025-01-18 06:59:12,0.29,0.87,1.16,0.28,18.78,0,0,318.65,0.6,R052,S00905,HUB02,2,H002
H00031,HS001235,R0073,HUB19,TRK032,cross_dock,rice,254.3,2026-08-18 03:52:00,2026-08-18 07:23:48,1.92,0.21,0.2,1.61,33.82,1,0,770.73,2.08,R073,S01235,HUB19,19,
H00032,HS001472,R0083,HUB04,TRK042,vehicle_change,rice,1493.0,2026-01-24 10:32:00,2026-01-24 13:32:36,2.07,0.63,0.79,0.94,18.91,0,0,750.83,1.68,R083,S01472,HUB04,4,H004
H00033,HS000638,R0092,HUB18,TRK004,warehouse,pharma,521.2,2026-01-07 16:30:00,2026-01-07 20:39:00,1.69,0.45,1.15,2.46,3.6,0,0,825.36,2.84,R092,S00638,HUB18,18,
H00034,HS000694,R0026,HUB08,TRK023,mode_change,pharma,753.8,2026-01-19 00:29:00,2026-01-19 04:36:12,1.79,0.35,0.27,2.33,2.48,0,0,684.98,3.0,R026,S00694,HUB08,8,H008
H00035,HS000280,R0009,HUB10,TRK015,cross_dock,pharma,1885.0,2026-05-12 16:48:00,2026-05-12 19:57:36,2.37,0.7,0.58,0.79,4.58,0,0,671.11,1.59,R009,S00280,HUB10,10,H010
H00036,HS000547,R0001,HUB14,TRK006,vehicle_change,mango,1832.3,2025-11-29 01:04:00,2025-11-29 03:49:36,2.18,1.16,1.16,0.58,11.34,0,0,750.03,1.31,R001,S00547,HUB14,14,H014
H00037,HS001168,R0042,HUB15,TRK015,warehouse,mango,357.2,2026-01-05 05:16:00,2026-01-05 07:47:48,0.86,0.85,0.82,1.67,8.27,0,0,626.6,2.23,R042,S01168,HUB15,15,H015
H00038,HS000168,R0002,HUB06,TRK035,warehouse,pharma,309.2,2025-04-12 14:15:00,2025-04-12 15:57:00,1.53,1.09,0.62,0.17,2.35,0,0,653.93,0.63,R002,S00168,HUB06,6,H006
