route_id,origin,destination,mode,distance_km,avg_transit_hr,reliability,base_cost_inr,typical_transfer_count,weather_sensitivity,temperature_stability_score,route_id_raw
R0001,Puri,Raipur,road,465.8,10.46,0.842,1044.07,0,1.17,0.96,R0001
R0002,Sambalpur,Kolkata,road,468.2,9.21,0.913,903.89,0,1.13,0.87,R0002
R0003,Sambalpur,Kolkata,rail,468.2,10.53,0.929,511.96,3,0.77,0.77,R0003
R0004,Sambalpur,Cuttack,road,226.9,5.77,0.978,418.06,2,1.1,0.96,R0004
R0005,Gopalpur,Kolkata,road,513.9,12.43,0.83,1120.22,0,1.29,0.89,R0005
R0006,Gopalpur,Kolkata,rail,513.9,11.32,0.845,556.72,1,0.64,0.75,R0006
R0007,Berhampur,Ranchi,road,451.2,9.92,0.862,935.67,0,0.9,0.94,R0007
R0008,Kharagpur,Raipur,road,591.0,12.15,0.81,1082.05,1,1.26,0.87,R0008
R0009,Kharagpur,Raipur,rail,591.0,12.31,0.875,719.78,0,0.78,0.78,R0009
R0010,Rourkela,Balasore,road,230.7,4.63,0.89,475.27,0,0.85,0.83,R0010
R0011,Rourkela,Balasore,rail,230.7,4.94,0.973,276.21,2,0.77,0.9,R0011
R0012,Bhubaneswar,Gopalpur,road,149.6,3.5,0.873,264.71,2,1.21,0.94,R0012
R0013,Bhubaneswar,Gopalpur,rail,149.6,3.56,0.853,179.53,0,0.73,0.85,R0013
R0014,Bhubaneswar,Gopalpur,local,149.6,5.53,0.841,394.91,3,0.53,0.84,R0014
R0015,Cuttack,Berhampur,road,171.0,4.25,0.851,376.38,3,0.85,0.81,R0015
R0016,Cuttack,Berhampur,local,171.0,5.96,0.895,471.41,1,0.37,0.97,R0016
R0017,Gopalpur,Kharagpur,road,419.4,10.3,0.883,772.87,1,0.86,0.8,R0017
R0018,Gopalpur,Kharagpur,rail,419.4,9.61,0.87,431.35,1,0.64,0.81,R0018
R0019,Rourkela,Raipur,road,351.3,8.25,0.902,784.37,2,1.23,0.81,R0019
R0020,Rourkela,Raipur,rail,351.3,7.81,0.98,382.76,2,0.51,0.73,R0020
R0021,Cuttack,Kharagpur,road,251.7,5.88,0.912,456.85,2,1.22,0.81,R0021
R0022,Kharagpur,Sambalpur,road,349.3,6.88,0.821,773.92,3,1.29,0.94,R0022
R0023,Kharagpur,Sambalpur,rail,349.3,6.53,0.862,438.0,3,0.37,0.84,R0023
R0024,Balasore,Bhubaneswar,road,176.0,4.01,0.966,353.75,3,1.12,0.85,R0024
R0025,Balasore,Bhubaneswar,rail,176.0,4.21,0.781,200.9,1,0.42,0.8,R0025
R0026,Balasore,Bhubaneswar,local,176.0,6.56,0.865,432.29,0,0.45,0.97,R0026
R0027,Cuttack,Raipur,road,450.6,8.82,0.978,872.89,2,1.07,0.95,R0027
R0028,Balasore,Kharagpur,road,99.7,2.29,0.937,204.06,3,0.94,0.93,R0028
R0029,Balasore,Kharagpur,rail,99.7,2.56,0.895,127.48,2,0.37,0.86,R0029
R0030,Balasore,Kharagpur,local,99.7,4.16,0.962,224.92,2,0.37,0.97,R0030
R0031,Puri,Rourkela,road,290.4,5.96,0.968,633.79,3,1.2,0.97,R0031
R0032,Raipur,Visakhapatnam,road,429.9,10.25,0.845,778.74,2,0.89,0.9,R0032
R0033,Raipur,Visakhapatnam,rail,429.9,8.38,0.757,504.86,2,0.68,0.9,R0033
R0034,Sambalpur,Bhubaneswar,road,231.6,5.24,0.807,523.99,3,0.86,0.82,R0034
R0035,Sambalpur,Bhubaneswar,rail,231.6,4.64,0.898,290.01,0,0.64,0.79,R0035
R0036,Berhampur,Rourkela,road,327.6,6.51,0.911,624.38,3,0.96,0.83,R0036
R0037,Bhubaneswar,Kolkata,road,364.9,9.05,0.945,728.5,1,0.99,0.93,R0037
R0038,Bhubaneswar,Kolkata,rail,364.9,7.23,0.823,457.68,2,0.49,0.94,R0038
R0039,Sambalpur,Berhampur,road,253.8,5.36,0.938,462.99,1,1.23,0.91,R0039
R0040,Sambalpur,Ranchi,road,249.4,6.32,0.972,531.41,2,1.03,0.95,R0040
R0041,Sambalpur,Ranchi,rail,249.4,5.49,0.788,286.68,0,0.45,0.92,R0041
R0042,Raipur,Hyderabad,road,541.8,10.96,0.806,1245.26,0,0.94,0.95,R0042
R0043,Raipur,Hyderabad,rail,541.8,12.06,0.836,563.51,3,0.75,0.73,R0043
R0044,Gopalpur,Balasore,road,325.6,7.85,0.892,709.58,3,1.26,0.92,R0044
R0045,Gopalpur,Balasore,rail,325.6,7.62,0.855,334.7,0,0.6,0.9,R0045
R0046,Cuttack,Puri,road,72.4,1.94,0.795,129.6,2,1.26,0.94,R0046
R0047,Cuttack,Puri,local,72.4,2.59,0.94,161.17,3,0.4,0.82,R0047
R0048,Visakhapatnam,Berhampur,road,245.7,5.52,0.961,516.07,0,0.88,0.93,R0048
R0049,Puri,Balasore,road,219.2,5.45,0.884,469.76,3,1.29,0.91,R0049
R0050,Puri,Balasore,local,219.2,8.99,0.833,488.44,0,0.65,0.83,R0050
R0051,Jamshedpur,Kharagpur,road,117.3,3.13,0.876,268.58,3,1.03,0.94,R0051
R0052,Jamshedpur,Kharagpur,rail,117.3,2.61,0.875,124.02,0,0.45,0.85,R0052
R0053,Jamshedpur,Kharagpur,local,117.3,4.05,0.865,332.6,3,0.37,0.89,R0053
R0054,Puri,Cuttack,road,72.4,1.85,0.98,132.03,3,0.94,0.85,R0054
R0055,Puri,Cuttack,local,72.4,2.79,0.895,190.21,0,0.51,0.87,R0055
R0056,Balasore,Ranchi,road,264.8,6.48,0.807,511.35,3,1.01,0.89,R0056
R0057,Balasore,Ranchi,rail,264.8,5.92,0.817,314.47,0,0.65,0.86,R0057
R0058,Rourkela,Berhampur,road,327.6,6.97,0.928,715.81,1,1.02,0.91,R0058
R0059,Kolkata,Cuttack,road,347.7,8.05,0.91,750.3,2,1.24,0.97,R0059
R0060,Rourkela,Visakhapatnam,road,536.5,11.76,0.862,1175.93,0,1.22,0.89,R0060
R0061,Rourkela,Visakhapatnam,rail,536.5,11.91,0.86,683.18,1,0.33,0.78,R0061
R0062,Berhampur,Jamshedpur,road,414.6,9.64,0.886,800.05,0,0.81,0.95,R0062
R0063,Kolkata,Kharagpur,road,119.0,2.55,0.961,219.33,2,1.1,0.82,R0063
R0064,Kolkata,Kharagpur,rail,119.0,2.83,0.836,157.23,1,0.46,0.87,R0064
R0065,Kolkata,Kharagpur,local,119.0,4.1,0.867,313.31,3,0.31,0.84,R0065
R0066,Berhampur,Puri,road,122.0,2.85,0.93,225.62,1,1.29,0.9,R0066
R0067,Berhampur,Puri,local,122.0,4.04,0.94,280.02,3,0.52,0.87,R0067
R0068,Raipur,Jamshedpur,road,502.0,12.64,0.876,1001.13,1,0.88,0.83,R0068
R0069,Raipur,Jamshedpur,rail,502.0,8.86,0.85,544.33,1,0.45,0.83,R0069
R0070,Raipur,Balasore,road,549.7,11.75,0.762,992.37,1,1.22,0.91,R0070
R0071,Raipur,Balasore,rail,549.7,10.35,0.819,686.46,0,0.33,0.8,R0071
R0072,Raipur,Berhampur,road,394.1,8.61,0.93,873.24,1,1.18,0.95,R0072
R0073,Raipur,Cuttack,road,450.6,9.91,0.886,935.85,1,1.23,0.86,R0073
R0074,Visakhapatnam,Raipur,road,429.9,9.49,0.877,781.05,0,1.26,0.91,R0074
R0075,Visakhapatnam,Raipur,rail,429.9,9.45,0.901,460.67,1,0.31,0.92,R0075
R0076,Sambalpur,Puri,road,266.2,6.06,0.908,554.51,2,0.94,0.93,R0076
R0077,Balasore,Raipur,road,549.7,11.59,0.805,1151.53,0,1.04,0.94,R0077
R0078,Balasore,Raipur,rail,549.7,9.66,0.722,720.64,2,0.73,0.75,R0078
R0079,Balasore,Sambalpur,road,305.3,6.37,0.847,628.52,3,1.13,0.97,R0079
R0080,Balasore,Sambalpur,rail,305.3,5.48,0.871,378.52,3,0.47,0.75,R0080
R0081,Bhubaneswar,Jamshedpur,road,281.7,7.3,0.881,570.21,2,1.29,0.88,R0081
R0082,Bhubaneswar,Jamshedpur,rail,281.7,5.1,0.883,354.46,2,0.58,0.9,R0082
R0083,Kolkata,Berhampur,road,518.2,10.09,0.904,922.47,0,0.99,0.81,R0083
R0084,Raipur,Gopalpur,road,408.1,10.22,0.911,875.34,2,1.23,0.93,R0084
R0085,Raipur,Gopalpur,rail,408.1,7.5,0.871,442.67,3,0.61,0.91,R0085
R0086,Kolkata,Bhubaneswar,road,364.9,9.51,0.912,775.67,2,1.0,0.96,R0086
R0087,Kolkata,Bhubaneswar,rail,364.9,6.99,0.813,465.89,0,0.47,0.91,R0087
R0088,Puri,Kharagpur,road,316.9,7.51,0.813,625.65,0,1.24,0.83,R0088
R0089,Puri,Sambalpur,road,266.2,6.81,0.924,571.64,1,1.2,0.98,R0089
