record_id,shipment_id,hour_from_departure,temperature_c,required_min_temp_c,required_max_temp_c,sensor_quality,in_range,shipment_id_raw
T0000001,HS004886,10,7.55,2.0,8.0,Good,1,HS004886
T0000002,HS001731,8,6.14,2.0,8.0,Good,1,HS001731
T0000003,HS002996,22,9.72,8.0,12.0,Fair,1,HS002996
T0000004,HS004291,3,9.7,8.0,13.0,Good,1,HS004291
T0000005,HS002669,15,23.54,15.0,30.0,Good,1,HS002669
T0000006,HS010889,15,-15.52,-20.0,-15.0,Fair,1,HS010889
T0000007,HS009828,13,3.49,2.0,8.0,Good,1,HS009828
T0000008,HS000846,13,9.89,8.0,13.0,Fair,1,HS000846
T0000009,HS010392,2,-18.62,-20.0,-15.0,Good,1,HS010392
T0000010,HS008828,23,6.14,2.0,8.0,Good,1,HS008828
T0000011,HS010888,4,13.29,12.0,15.0,Good,1,HS010888
T0000012,HS007798,5,23.43,15.0,30.0,Good,1,HS007798
T0000013,HS010568,24,14.84,12.0,15.0,Fair,1,HS010568
T0000014,HS003084,19,-18.07,-20.0,-15.0,Good,1,HS003084
T0000015,HS005292,18,11.29,8.0,12.0,Good,1,HS005292
T0000016,HS008514,4,14.36,15.0,30.0,Good,0,HS008514
T0000017,HS003935,21,14.94,12.0,15.0,Good,1,HS003935
T0000018,HS001735,6,10.44,8.0,12.0,Fair,1,HS001735
T0000019,HS008378,3,7.11,2.0,8.0,Good,1,HS008378
T0000020,HS011917,19,23.11,15.0,30.0,Good,1,HS011917
T0000021,HS011550,22,18.07,15.0,30.0,Good,1,HS011550
T0000022,HS000129,23,7.11,2.0,8.0,Good,1,HS000129
T0000023,HS009616,2,6.9,2.0,8.0,Fair,1,HS009616
T0000024,HS007873,21,0.42,-2.0,4.0,Good,1,HS007873
T0000025,HS000449,1,2.77,2.0,8.0,Good,1,HS000449
T0000026,HS009919,11,6.41,2.0,8.0,Good,1,HS009919
T0000027,HS011363,20,11.17,8.0,12.0,Good,1,HS011363
T0000028,HS003718,2,12.94,8.0,13.0,Good,1,HS003718
T0000029,HS009332,0,12.63,12.0,15.0,Good,1,HS009332
T0000030,HS007898,19,19.84,15.0,30.0,Good,1,HS007898
T0000031,HS011986,18,-0.98,-2.0,4.0,Good,1,HS011986
T0000032,HS001862,21,18.18,15.0,30.0,Fair,1,HS001862
T0000033,HS007113,14,14.94,12.0,15.0,Fair,1,HS007113
T0000034,HS003372,18,2.03,-2.0,4.0,Good,1,HS003372
T0000035,HS002153,10,12.32,12.0,15.0,Good,1,HS002153
T0000036,HS010613,9,7.06,2.0,8.0,Good,1,HS010613
T0000037,HS000909,18,18.83,15.0,30.0,Good,1,HS000909
T0000038,HS009425,9,14.6,12.0,15.0,Good,1,HS009425
T0000039,HS008529,12,27.81,15.0,30.0,Good,1,HS008529
T0000040,HS008328,14,5.82,2.0,8.0,Good,1,HS008328
T0000041,HS001864,21,5.92,2.0,8.0,Good,1,HS001864
T0000042,HS000957,15,6.84,2.0,8.0,Good,1,HS000957
T0000043,HS011359,13,19.83,15.0,30.0,Good,1,HS011359
T0000044,HS002403,7,7.08,2.0,8.0,Good,1,HS002403
T0000045,HS009627,14,8.81,8.0,12.0,Good,1,HS009627
T0000046,HS001354,17,24.94,15.0,30.0,Good,1,HS001354
T0000047,HS007547,21,9.57,8.0,12.0,Good,1,HS007547
T0000048,HS007381,18,23.97,15.0,30.0,Good,1,HS007381
T0000049,HS009490,15,2.14,2.0,8.0,Good,1,HS009490
T0000050,HS004455,14,5.3,2.0,8.0,Good,1,HS004455
T0000051,HS002714,9,-18.46,-20.0,-15.0,Good,1,HS002714
T0000052,HS010502,16,2.65,2.0,8.0,Fair,1,HS010502
T0000053,HS002616,18,12.48,12.0,15.0,Fair,1,HS002616
T0000054,HS008714,17,15.8,15.0,30.0,Good,1,HS008714
T0000055,HS006205,17,1.26,2.0,8.0,Good,0,HS006205
T0000056,HS009186,3,-19.3,-20.0,-15.0,Fair,1,HS009186
T0000057,HS007265,0,19.54,15.0,30.0,Good,1,HS007265
T0000058,HS004255,22,2.94,2.0,8.0,Good,1,HS004255
T0000059,HS004204,21,12.2,8.0,13.0,Good,1,HS004204
T0000060,HS005015,9,26.07,15.0,30.0,Good,1,HS005015
T0000061,HS001843,14,12.62,8.0,13.0,Fair,1,HS001843
T0000062,HS009958,22,15.85,15.0,30.0,Fair,1,HS009958
T0000063,HS006766,11,25.7,15.0,30.0,Good,1,HS006766
T0000064,HS009349,18,4.7,2.0,8.0,Good,1,HS009349
T0000065,HS005677,13,12.55,8.0,13.0,Fair,1,HS005677
T0000066,HS001569,4,10.0,8.0,13.0,Good,1,HS001569
T0000067,HS004402,7,22.66,15.0,30.0,Good,1,HS004402
T0000068,HS000828,2,6.35,2.0,8.0,Good,1,HS000828
T0000069,HS008452,24,11.96,8.0,12.0,Good,1,HS008452
T0000070,HS005072,23,4.33,2.0,8.0,Fair,1,HS005072
T0000071,HS004066,2,7.43,2.0,8.0,Fair,1,HS004066
T0000072,HS001758,6,3.86,-2.0,4.0,Good,1,HS001758
T0000073,HS011024,23,-15.46,-20.0,-15.0,Good,1,HS011024
T0000074,HS001071,19,10.92,12.0,15.0,Good,0,HS001071
T0000075,HS005896,2,2.81,2.0,8.0,Good,1,HS005896
T0000076,HS009864,7,2.36,2.0,8.0,Good,1,HS009864
T0000077,HS007134,2,16.22,15.0,30.0,Good,1,HS007134
T0000078,HS000411,17,21.13,15.0,30.0,Fair,1,HS000411
T0000079,HS009466,4,28.62,15.0,30.0,Good,1,HS009466
T0000080,HS000721,23,12.76,8.0,13.0,Fair,1,HS000721
T0000081,HS009648,5,11.31,8.0,12.0,Good,1,HS009648
T0000082,HS002292,4,12.95,12.0,15.0,Good,1,HS002292
T0000083,HS000959,3,11.03,8.0,12.0,Good,1,HS000959
T0000084,HS011321,3,2.11,2.0,8.0,Good,1,HS011321
T0000085,HS010046,15,11.41,8.0,13.0,Good,1,HS010046
