shipment_id,temp_obs_count,observed_avg_temp,observed_min_temp,observed_max_temp,observed_temp_std,observed_excursion_count,observed_in_range_pct,observed_sensor_fair_pct
HS000001,7,23.7,18.57,28.14,2.9941220193349944,0,100.0,0.0
HS000002,9,13.258888888888889,12.09,14.96,1.1329214937987149,0,100.0,0.2222222222222222
HS000003,7,24.169999999999998,15.54,35.31,7.173674093517214,1,85.71428571428571,0.2857142857142857
HS000004,7,4.402857142857143,2.31,6.78,1.8042146424942007,0,100.0,0.14285714285714285
HS000005,8,-16.71875,-18.75,-15.03,1.5208873115013202,0,100.0,0.25
HS000006,7,21.064285714285713,16.17,28.38,5.127006459728253,0,100.0,0.14285714285714285
HS000007,9,10.552222222222222,8.21,12.81,1.5307169707181156,1,88.88888888888889,0.4444444444444444
HS000008,9,21.037777777777777,16.49,26.88,3.517068302499177,0,100.0,0.3333333333333333
HS000009,13,2.0276923076923077,-1.85,5.38,2.332231241558728,1,92.3076923076923,0.23076923076923078
HS000010,7,6.585714285714286,2.01,13.87,3.8815755269514685,1,85.71428571428571,0.2857142857142857
HS000011,8,13.685,12.2,14.78,0.9829837958263313,0,100.0,0.0
HS000012,10,5.169,3.32,7.19,1.5615480211066908,0,100.0,0.2
HS000013,11,5.91,2.02,13.99,3.438185567999493,2,81.81818181818183,0.36363636363636365
HS000014,8,3.96875,0.17,12.08,3.579279406728199,2,75.0,0.25
HS000015,11,13.534545454545453,9.6,18.01,2.0512599232489466,2,81.81818181818183,0.18181818181818182
HS000016,7,11.022857142857143,8.49,12.78,1.4923774576796838,0,100.0,0.2857142857142857
HS000017,12,22.2,16.63,28.01,4.200196965078489,0,100.0,0.3333333333333333
HS000018,11,10.98,8.11,14.7,2.0998904733342645,3,72.72727272727273,0.2727272727272727
HS000019,3,3.9033333333333338,2.78,5.37,1.328696102701191,0,100.0,0.3333333333333333
HS000020,9,23.14777777777778,16.89,29.28,5.468925346395253,0,100.0,0.1111111111111111
HS000021,7,10.202857142857143,8.95,11.61,1.1440966492640139,0,100.0,0.5714285714285714
HS000022,11,13.351818181818182,12.19,14.42,0.8442608386253412,0,100.0,0.36363636363636365
HS000023,9,4.383333333333334,2.65,6.72,1.7214891809128516,0,100.0,0.3333333333333333
HS000024,10,10.593,8.66,12.79,1.2870470076885303,1,90.0,0.2
HS000025,5,1.658,-3.03,5.7,3.5920565140320386,2,60.0,0.4
HS000026,9,5.471111111111111,4.1,13.06,2.8595867028490516,1,88.88888888888889,0.2222222222222222
HS000027,11,1.7699999999999998,-1.43,3.83,1.9759554650851825,0,100.0,0.18181818181818182
HS000028,11,5.876363636363636,0.1,13.49,3.5405995896945837,2,81.81818181818183,0.0
HS000029,12,5.528333333333333,2.55,7.61,1.759751187646777,0,100.0,0.25
HS000030,7,0.8057142857142858,-1.29,4.48,2.3163035001402354,1,85.71428571428571,0.42857142857142855
HS000031,8,10.995000000000001,8.72,12.71,1.4735574059300942,0,100.0,0.375
HS000032,8,2.0175,-1.32,3.71,1.8334647139072127,0,100.0,0.5
HS000033,9,21.404444444444444,16.17,29.38,4.669622873185561,0,100.0,0.3333333333333333
HS000034,12,-17.655,-19.67,-15.2,1.3309429330024225,0,100.0,0.3333333333333333
HS000035,9,5.487777777777778,3.07,7.76,1.4526508336294877,0,100.0,0.1111111111111111
HS000036,13,5.526153846153846,3.11,7.46,1.4665409328390078,0,100.0,0.0
HS000037,8,10.34125,9.32,11.86,1.0667365118501784,0,100.0,0.375
HS000038,13,10.366153846153846,8.45,12.46,1.494899876588944,0,100.0,0.38461538461538464
HS000039,7,10.567142857142857,8.08,13.72,1.969210622607566,1,85.71428571428571,0.2857142857142857
HS000040,8,23.06875,15.66,28.83,4.3125015527947514,0,100.0,0.25
HS000041,13,11.007692307692308,8.55,15.0,1.811910381550156,1,92.3076923076923,0.46153846153846156
HS000042,4,23.8075,15.39,27.19,5.651055211197285,0,100.0,0.0
HS000043,8,13.5675,12.46,14.73,0.8626495729520103,0,100.0,0.625
HS000044,10,11.125,8.02,13.04,1.648873352727047,1,90.0,0.3
HS000045,3,5.41,3.69,7.21,1.7613631085043195,0,100.0,0.0
HS000046,6,5.715,2.87,7.73,1.7612353618980063,0,100.0,0.16666666666666666
HS000047,8,23.915,16.81,27.81,3.492064473304335,0,100.0,0.375
HS000048,11,21.05181818181818,15.33,26.41,4.360653203779953,0,100.0,0.36363636363636365
