availability_id,vehicle_id,date,vehicle_type,capacity_kg,min_temp_c,max_temp_c,home_location,current_location,availability_status,available_from,available_until,estimated_cost_per_km,maintenance_status,utilization_rate,vehicle_id_raw
VA00001,TRK0043,2025-11-03,Dry,750,15,35,Balasore,Kharagpur,available,2026-08-30 06:00:00,2026-08-30 20:00:00,25.88,inspection_due,0.776,TRK0043
VA00002,TRK0045,2026-01-08,Reefer,750,-2,8,Angul,Balasore,available,2026-08-30 08:00:00,2026-08-30 18:00:00,13.7,good,0.75,TRK0045
VA00003,TRK0048,2026-02-24,Dry,750,15,35,Kolkata,Bhubaneswar,assigned,2026-08-30 10:00:00,2026-08-30 22:00:00,24.08,good,0.317,TRK0048
VA00004,TRK0025,2025-08-28,Reefer,500,-2,8,Puri,Angul,available,2026-08-30 07:00:00,2026-08-30 16:00:00,15.83,good,0.164,TRK0025
VA00005,TRK0003,2026-05-01,Dry,1500,15,35,Kolkata,Jajpur,available,2026-08-30 07:00:00,2026-08-30 18:00:00,22.8,maintenance,0.517,TRK0003
VA00006,TRK0013,2025-09-18,Local,500,10,35,Cuttack,Rourkela,assigned,2026-08-30 12:00:00,2026-08-30 20:00:00,20.11,good,0.752,TRK0013
VA00007,TRK0042,2026-03-02,Local,300,10,35,Kharagpur,Gopalpur,available,2026-08-30 05:00:00,2026-08-30 23:59:00,29.74,good,0.775,TRK0042
VA00008,TRK0028,2026-06-22,Dry,2000,15,35,Jajpur,Berhampur,assigned,2026-08-30 14:00:00,2026-08-30 18:00:00,34.35,good,0.383,TRK0028
VA00009,TRK0029,2026-06-01,Reefer,2000,2,12,Gopalpur,Balasore,unavailable,2026-08-30 10:00:00,2026-08-30 20:00:00,12.35,maintenance,0.285,TRK0029
VA00010,TRK0042,2025-07-26,Reefer,1500,2,8,Balasore,Gopalpur,maintenance,2026-08-30 08:00:00,2026-08-30 20:00:00,14.72,inspection_due,0.758,TRK0042
VA00011,TRK0045,2025-11-05,Dry,1500,15,35,Gopalpur,Berhampur,available,2026-08-30 10:00:00,2026-08-30 22:00:00,34.41,maintenance,0.63,TRK0045
VA00012,TRK0019,2025-09-04,Reefer,1000,2,8,Bhubaneswar,Balasore,available,2026-08-30 07:00:00,2026-08-30 22:00:00,23.29,inspection_due,0.171,TRK0019
VA00013,TRK0027,2026-02-22,Dry,2000,15,35,Sambalpur,Cuttack,available,2026-08-30 08:00:00,2026-08-30 16:00:00,21.43,good,0.809,TRK0027
VA00014,TRK0038,2026-03-31,Local,750,10,35,Rourkela,Rourkela,assigned,2026-08-30 12:00:00,2026-08-30 20:00:00,32.21,good,0.794,TRK0038
VA00015,TRK0025,2025-01-20,Reefer,2000,4,12,Balasore,Rourkela,available,2026-08-30 05:00:00,2026-08-30 23:59:00,30.06,good,0.709,TRK0025
VA00016,TRK0008,2025-03-29,Dry,750,15,35,Sambalpur,Balasore,available,2026-08-30 12:00:00,2026-08-30 23:59:00,15.28,maintenance,0.271,TRK0008
VA00017,TRK0016,2025-08-29,Dry,750,15,35,Rourkela,Sambalpur,assigned,2026-08-30 06:00:00,2026-08-30 23:59:00,18.25,good,0.82,TRK0016
VA00018,TRK0011,2025-02-09,Reefer,1500,4,12,Angul,Kolkata,available,2026-08-30 07:00:00,2026-08-30 23:59:00,12.35,maintenance,0.255,TRK0011
VA00019,TRK0030,2025-01-16,Local,750,10,35,Bhubaneswar,Kolkata,available,2026-08-30 08:00:00,2026-08-30 18:00:00,20.59,good,0.399,TRK0030
VA00020,TRK0018,2025-07-18,Reefer,1500,2,12,Kharagpur,Bhubaneswar,available,2026-08-30 08:00:00,2026-08-30 22:00:00,35.36,maintenance,0.301,TRK0018
VA00021,TRK0039,2025-02-17,Reefer,750,2,8,Bhubaneswar,Puri,available,2026-08-30 14:00:00,2026-08-30 20:00:00,28.42,good,0.823,TRK0039
VA00022,TRK0012,2025-09-17,Dry,1000,15,35,Jajpur,Kolkata,available,2026-08-30 08:00:00,2026-08-30 16:00:00,28.11,good,0.425,TRK0012
VA00023,TRK0013,2025-04-16,Dry,2000,15,35,Angul,Jajpur,available,2026-08-30 08:00:00,2026-08-30 20:00:00,34.51,inspection_due,0.926,TRK0013
VA00024,TRK0004,2025-02-09,Dry,2000,15,35,Kharagpur,Balasore,available,2026-08-30 10:00:00,2026-08-30 23:59:00,28.24,inspection_due,0.549,TRK0004
VA00025,TRK0006,2025-05-07,Reefer,2000,2,12,Bhubaneswar,Jajpur,available,2026-08-30 06:00:00,2026-08-30 23:59:00,27.96,good,0.887,TRK0006
VA00026,TRK0027,2025-01-05,Local,500,10,35,Kolkata,Bhubaneswar,available,2026-08-30 07:00:00,2026-08-30 22:00:00,26.48,good,0.728,TRK0027
VA00027,TRK0004,2025-05-05,Reefer,1500,4,12,Rourkela,Bhubaneswar,available,2026-08-30 14:00:00,2026-08-30 16:00:00,30.91,good,0.77,TRK0004
VA00028,TRK0021,2025-10-27,Dry,500,15,35,Cuttack,Puri,available,2026-08-30 08:00:00,2026-08-30 16:00:00,21.49,good,0.314,TRK0021
VA00029,TRK0042,2025-10-13,Reefer,1500,-2,8,Berhampur,Rourkela,available,2026-08-30 05:00:00,2026-08-30 18:00:00,15.57,maintenance,0.477,TRK0042
VA00030,TRK0041,2025-03-07,Dry,1000,15,35,Angul,Puri,available,2026-08-30 14:00:00,2026-08-30 16:00:00,32.04,good,0.693,TRK0041
VA00031,TRK0007,2025-02-28,Dry,750,15,35,Kolkata,Bhubaneswar,available,2026-08-30 10:00:00,2026-08-30 22:00:00,28.34,good,0.455,TRK0007
VA00032,TRK0006,2025-02-14,Local,750,10,35,Bhubaneswar,Kolkata,available,2026-08-30 14:00:00,2026-08-30 16:00:00,17.97,good,0.301,TRK0006
VA00033,TRK0029,2025-02-01,Local,300,10,35,Kharagpur,Bhubaneswar,assigned,2026-08-30 14:00:00,2026-08-30 18:00:00,27.93,inspection_due,0.816,TRK0029
VA00034,TRK0011,2025-12-25,Local,300,10,35,Sambalpur,Bhubaneswar,available,2026-08-30 06:00:00,2026-08-30 16:00:00,20.56,maintenance,0.248,TRK0011
VA00035,TRK0022,2025-10-17,Dry,750,15,35,Cuttack,Rourkela,assigned,2026-08-30 05:00:00,2026-08-30 22:00:00,32.97,inspection_due,0.18,TRK0022
VA00036,TRK0004,2025-07-20,Local,300,10,35,Berhampur,Rourkela,assigned,2026-08-30 08:00:00,2026-08-30 22:00:00,13.68,good,0.634,TRK0004
VA00037,TRK0010,2025-12-01,Reefer,1500,-2,8,Rourkela,Gopalpur,assigned,2026-08-30 05:00:00,2026-08-30 20:00:00,22.82,good,0.796,TRK0010
VA00038,TRK0048,2026-02-27,Reefer,500,4,12,Puri,Kharagpur,assigned,2026-08-30 07:00:00,2026-08-30 18:00:00,18.11,maintenance,0.19,TRK0048
