vehicle_id,vehicle_type,capacity_kg,min_temp_c,max_temp_c,current_location,status,cost_per_km_inr,reliability,temperature_control_score,vehicle_id_raw
TRK0001,Dry,2000,15,30,Sambalpur,Available,23.64,0.964,0.917,TRK0001
TRK0002,Local-Reefer,400,2,12,Ranchi,Available,25.25,0.98,0.968,TRK0002
TRK0003,Local-Reefer,400,2,12,Kolkata,Available,28.88,0.987,0.983,TRK0003
TRK0004,Reefer-M,1000,2,12,Rourkela,Available,29.73,1.013,0.918,TRK0004
TRK0005,Reefer-M,1000,2,12,Berhampur,Available,30.02,1.001,0.857,TRK0005
TRK0006,Frozen-Reefer,1200,-25,-12,Gopalpur,Available,39.27,0.986,0.908,TRK0006
TRK0007,Frozen-Reefer,1200,-25,-12,Kolkata,Available,40.74,0.962,0.936,TRK0007
TRK0008,Reefer-L,1500,0,10,Balasore,Available,40.39,0.967,0.852,TRK0008
TRK0009,Frozen-Reefer,1200,-25,-12,Puri,Available,42.59,0.984,0.963,TRK0009
TRK0010,Reefer-S,500,2,12,Balasore,Available,28.91,0.996,0.853,TRK0010
TRK0011,Dry,2000,15,30,Kolkata,Available,23.67,0.985,0.864,TRK0011
TRK0012,Reefer-S,500,2,12,Ranchi,Available,31.8,0.961,0.934,TRK0012
TRK0013,Reefer-M,1000,2,12,Ranchi,Available,31.08,1.007,0.939,TRK0013
TRK0014,Reefer-M,1000,2,12,Raipur,Available,36.65,0.963,0.912,TRK0014
TRK0015,Rail-Reefer,8000,0,10,Jamshedpur,Available,0.0,0.98,0.988,TRK0015
TRK0016,Reefer-M,1000,2,12,Bhubaneswar,Available,32.42,1.011,0.895,TRK0016
TRK0017,Reefer-S,500,2,12,Kolkata,Available,32.05,0.988,0.868,TRK0017
TRK0018,Reefer-M,1000,2,12,Bhubaneswar,Available,36.36,0.976,0.921,TRK0018
TRK0019,Reefer-S,500,2,12,Cuttack,Available,28.17,1.016,0.92,TRK0019
TRK0020,Rail-Reefer,8000,0,10,Hyderabad,Available,0.0,0.99,0.97,TRK0020
TRK0021,Reefer-M,1000,2,12,Kharagpur,Available,31.04,1.011,0.905,TRK0021
TRK0022,Reefer-L,1500,0,10,Kolkata,Available,43.48,0.971,0.892,TRK0022
TRK0023,Reefer-M,1000,2,12,Bhubaneswar,Available,31.93,0.972,0.945,TRK0023
TRK0024,Frozen-Reefer,1200,-25,-12,Berhampur,Available,44.89,0.976,0.9,TRK0024
TRK0025,Reefer-L,1500,0,10,Balasore,Available,41.01,0.988,0.901,TRK0025
TRK0026,Reefer-S,500,2,12,Visakhapatnam,Available,29.2,0.973,0.976,TRK0026
TRK0027,Frozen-Reefer,1200,-25,-12,Balasore,Available,38.21,0.99,0.867,TRK0027
TRK0028,Rail-Reefer,8000,0,10,Puri,Available,0.0,0.968,0.963,TRK0028
TRK0029,Rail-Reefer,8000,0,10,Hyderabad,Available,0.0,1.003,0.95,TRK0029
TRK0030,Dry,2000,15,30,Hyderabad,Available,23.65,0.97,0.923,TRK0030
TRK0031,Local-Reefer,400,2,12,Kolkata,Available,24.56,0.997,0.852,TRK0031
TRK0032,Reefer-S,500,2,12,Raipur,Available,27.05,0.962,0.865,TRK0032
TRK0033,Local-Reefer,400,2,12,Puri,Available,25.18,0.962,0.889,TRK0033
TRK0034,Reefer-M,1000,2,12,Berhampur,Available,31.83,0.983,0.897,TRK0034
TRK0035,Reefer-L,1500,0,10,Gopalpur,Available,35.05,0.962,0.878,TRK0035
TRK0036,Reefer-L,1500,0,10,Ranchi,Available,43.61,1.016,0.921,TRK0036
TRK0037,Local-Reefer,400,2,12,Kolkata,Available,25.44,1.006,0.957,TRK0037
TRK0038,Local-Reefer,400,2,12,Visakhapatnam,Available,29.22,0.986,0.957,TRK0038
TRK0039,Dry,2000,15,30,Visakhapatnam,Available,23.45,1.016,0.863,TRK0039
TRK0040,Rail-Reefer,8000,0,10,Hyderabad,Available,0.0,0.966,0.942,TRK0040
TRK0041,Reefer-S,500,2,12,Bhubaneswar,Available,30.59,1.008,0.934,TRK0041
TRK0042,Frozen-Reefer,1200,-25,-12,Visakhapatnam,Available,38.83,0.977,0.908,TRK0042
TRK0043,Local-Reefer,400,2,12,Bhubaneswar,Available,26.31,0.976,0.905,TRK0043
TRK0044,Local-Reefer,400,2,12,Kharagpur,Available,29.12,0.976,0.975,TRK0044
TRK0045,Rail-Reefer,8000,0,10,Kharagpur,Available,0.0,0.99,0.908,TRK0045
TRK0046,Frozen-Reefer,1200,-25,-12,Puri,Available,43.08,0.969,0.899,TRK0046
TRK0047,Dry,2000,15,30,Jamshedpur,Available,24.08,1.009,0.886,TRK0047
TRK0048,Dry,2000,15,30,Hyderabad,Available,26.31,1.018,0.967,TRK0048
TRK0049,Reefer-M,1000,2,12,Berhampur,Available,33.01,0.97,0.965,TRK0049
TRK0050,Reefer-L,1500,0,10,Jamshedpur,Available,36.7,1.016,0.866,TRK0050
TRK0051,Reefer-L,1500,0,10,Jamshedpur,Available,41.05,0.964,0.934,TRK0051
TRK0052,Reefer-M,1000,2,12,Visakhapatnam,Available,29.34,0.991,0.886,TRK0052
TRK0053,Reefer-S,500,2,12,Rourkela,Available,26.03,1.016,0.975,TRK0053
TRK0054,Reefer-M,1000,2,12,Berhampur,Available,31.39,0.995,0.951,TRK0054
TRK0055,Frozen-Reefer,1200,-25,-12,Kharagpur,Available,39.44,0.966,0.99,TRK0055
TRK0056,Local-Reefer,400,2,12,Kharagpur,Available,29.07,0.989,0.979,TRK0056
TRK0057,Rail-Reefer,8000,0,10,Cuttack,Available,0.0,1.016,0.983,TRK0057
TRK0058,Reefer-L,1500,0,10,Gopalpur,Available,37.57,0.987,0.908,TRK0058
TRK0059,Reefer-L,1500,0,10,Berhampur,Available,42.73,0.975,0.949,TRK0059
TRK0060,Dry,2000,15,30,Cuttack,Available,21.83,0.999,0.897,TRK0060
TRK0061,Dry,2000,15,30,Rourkela,Available,22.16,1.017,0.955,TRK0061
TRK0062,Reefer-L,1500,0,10,Raipur,Available,35.5,0.979,0.902,TRK0062
TRK0063,Rail-Reefer,8000,0,10,Jamshedpur,Available,0.0,0.964,0.902,TRK0063
TRK0064,Frozen-Reefer,1200,-25,-12,Puri,Available,41.85,0.972,0.887,TRK0064
TRK0065,Reefer-L,1500,0,10,Rourkela,Available,37.89,0.981,0.925,TRK0065
TRK0066,Rail-Reefer,8000,0,10,Ranchi,Available,0.0,0.995,0.985,TRK0066
TRK0067,Reefer-L,1500,0,10,Kolkata,Available,42.84,1.008,0.858,TRK0067
TRK0068,Dry,2000,15,30,Kharagpur,Available,25.79,1.019,0.914,TRK0068
TRK0069,Reefer-S,500,2,12,Cuttack,Available,29.13,0.968,0.955,TRK0069
TRK0070,Reefer-S,500,2,12,Kolkata,Available,30.26,1.012,0.938,TRK0070
TRK0071,Rail-Reefer,8000,0,10,Rourkela,Available,0.0,1.011,0.972,TRK0071
TRK0072,Reefer-S,500,2,12,Bhubaneswar,Available,29.09,0.973,0.97,TRK0072
TRK0073,Local-Reefer,400,2,12,Rourkela,Available,26.13,0.971,0.897,TRK0073
TRK0074,Dry,2000,15,30,Sambalpur,Available,22.83,0.966,0.974,TRK0074
TRK0075,Dry,2000,15,30,Ranchi,Available,22.8,0.978,0.986,TRK0075
TRK0076,Reefer-M,1000,2,12,Sambalpur,Available,33.68,0.978,0.892,TRK0076
TRK0077,Dry,2000,15,30,Bhubaneswar,Available,25.97,0.963,0.851,TRK0077
TRK0078,Rail-Reefer,8000,0,10,Sambalpur,Available,0.0,1.005,0.916,TRK0078
TRK0079,Reefer-M,1000,2,12,Kolkata,Available,32.29,0.979,0.923,TRK0079
TRK0080,Frozen-Reefer,1200,-25,-12,Kharagpur,Available,44.08,1.014,0.989,TRK0080
TRK0081,Local-Reefer,400,2,12,Cuttack,Available,25.9,0.971,0.899,TRK0081
TRK0082,Reefer-M,1000,2,12,Gopalpur,Available,30.2,1.006,0.919,TRK0082
TRK0083,Dry,2000,15,30,Raipur,Available,21.8,0.964,0.906,TRK0083
TRK0084,Local-Reefer,400,2,12,Cuttack,Available,25.11,1.019,0.879,TRK0084
TRK0085,Reefer-S,500,2,12,Berhampur,Available,29.22,0.99,0.931,TRK0085
TRK0086,Reefer-M,1000,2,12,Balasore,Available,35.41,0.968,0.91,TRK0086
TRK0087,Reefer-S,500,2,12,Sambalpur,Available,31.28,0.982,0.929,TRK0087
TRK0088,Dry,2000,15,30,Cuttack,Available,22.62,0.964,0.952,TRK0088
TRK0089,Rail-Reefer,8000,0,10,Gopalpur,Available,0.0,0.964,0.971,TRK0089
TRK0090,Dry,2000,15,30,Visakhapatnam,Available,22.13,0.961,0.858,TRK0090
TRK0091,Frozen-Reefer,1200,-25,-12,Visakhapatnam,Available,40.26,0.993,0.91,TRK0091
TRK0092,Reefer-M,1000,2,12,Ranchi,Available,32.71,0.99,0.988,TRK0092
TRK0093,Reefer-L,1500,0,10,Berhampur,Available,42.09,0.963,0.917,TRK0093
TRK0094,Reefer-S,500,2,12,Raipur,Available,29.86,1.001,0.887,TRK0094
TRK0095,Local-Reefer,400,2,12,Kharagpur,Available,25.78,0.991,0.915,TRK0095
TRK0096,Reefer-L,1500,0,10,Gopalpur,Available,37.1,0.975,0.901,TRK0096
TRK0097,Reefer-S,500,2,12,Berhampur,Available,31.3,0.996,0.869,TRK0097
TRK0098,Frozen-Reefer,1200,-25,-12,Sambalpur,Available,46.7,0.974,0.871,TRK0098
TRK0099,Frozen-Reefer,1200,-25,-12,Bhubaneswar,Available,38.3,1.006,0.988,TRK0099
TRK0100,Reefer-M,1000,2,12,Bhubaneswar,Available,34.78,0.964,0.933,TRK0100
